Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
111 Richelle Cranston,MELB,4,0.7,0,0,4,0.7,2,0.3,2,0.3,6,1,18,3,8,1.3,0,0,6,1,1,0.2
113 Tahlia Randall,BL,1,0.1,0,0,1,0.1,15,2.1,3,0.4,4,0.6,12,1.7,16,2.3,1,0.1,7,1,0,0
113 Jenna McCormick,ADEL,1,0.1,0,0,1,0.1,1,0.1,3,0.4,5,0.7,13,1.9,2,0.3,0,0,8,1.1,4,0.6
113 Laura Bailey,WB,3,0.5,1,0.2,2,0.3,1,0.2,5,0.8,8,1.3,10,1.7,6,1,0,0,2,0.3,1,0.2
116 Cassie Davidson,FRE,0,0,0,0,0,0,9,1.3,5,0.7,3,0.4,18,2.6,8,1.1,4,0.6,3,0.4,0,0
116 Christina Bernardi,COLL,3,0.5,0,0,3,0.5,3,0.5,3,0.5,1,0.2,7,1.2,2,0.3,2,0.3,11,1.8,2,0.3
116 Emma King,COLL,7,1,1,0.1,6,0.9,2,0.3,3,0.4,4,0.6,8,1.1,8,1.1,0,0,12,1.7,0,0
116 Anne Hatchard,ADEL,0,0,0,0,0,0,1,0.1,9,1.3,3,0.4,9,1.3,11,1.6,0,0,3,0.4,0,0
116 Phoebe McWilliams,GWS,4,0.6,0,0,4,0.6,1,0.1,6,0.9,3,0.4,9,1.3,5,0.7,0,0,9,1.3,7,1
116 Stephanie Cain,FRE,7,1.2,0,0,7,1.2,5,0.8,4,0.7,8,1.3,22,3.7,0,0,0,0,1,0.2,0,0
116 Kirsten McLeod,WB,1,0.2,0,0,1,0.2,0,0,5,0.8,2,0.3,14,2.3,6,1,3,0.5,9,1.5,4,0.7
123 Tiarna Ernst,WB,8,1.1,3,0.4,5,0.7,4,0.6,10,1.4,8,1.1,29,4.1,11,1.6,0,0,4,0.6,0,0
123 Alyssa Mifsud,MELB,1,0.1,0,0,1,0.1,0,0,4,0.6,6,0.9,21,3,2,0.3,0,0,4,0.6,9,1.3
125 Nikki Wallace,BL,6,0.8,0,0,6,0.8,3,0.4,2,0.3,6,0.8,16,2,1,0.1,0,0,4,0.5,0,0
125 Sarah Allan,ADEL,9,1.5,5,0.8,4,0.7,2,0.3,3,0.5,3,0.5,9,1.5,7,1.2,1,0.2,4,0.7,0,0
127 Aimee Schmidt,GWS,0,0,0,0,0,0,1,0.1,1,0.1,3,0.4,9,1.3,5,0.7,0,0,3,0.4,3,0.4
127 Cecilia McIntosh,COLL,4,0.7,1,0.2,3,0.5,4,0.7,7,1.2,4,0.7,17,2.8,9,1.5,2,0.3,8,1.3,1,0.2
127 Rebecca Privitelli,CARL,2,0.4,0,0,2,0.4,6,1.2,1,0.2,0,0,3,0.6,3,0.6,0,0,5,1,1,0.2
127 Brooke Patterson,MELB,2,0.5,0,0,2,0.5,6,1.5,0,0,0,0,5,1.3,3,0.8,0,0,1,0.3,0,0
131 Rachael Killian,ADEL,0,0,0,0,0,0,0,0,4,0.7,1,0.2,9,1.5,5,0.8,0,0,9,1.5,2,0.3
131 Tara Morgan,COLL,3,0.4,0,0,3,0.4,5,0.7,6,0.9,3,0.4,20,2.9,7,1,3,0.4,3,0.4,0,0
131 Akec Makur Chuot,FRE,5,0.8,1,0.2,4,0.7,5,0.8,0,0,2,0.3,13,2.2,11,1.8,1,0.2,8,1.3,0,0
131 Bailey Hunt,WB,2,0.3,0,0,2,0.3,6,0.9,2,0.3,4,0.6,16,2.3,9,1.3,0,0,0,0,0,0
131 Emma Humphries,MELB,6,0.9,1,0.1,5,0.7,2,0.3,7,1,2,0.3,13,1.9,2,0.3,3,0.4,10,1.4,1,0.1
136 Madeleine Boyd,MELB,4,0.6,1,0.1,3,0.4,2,0.3,2,0.3,5,0.7,16,2.3,5,0.7,0,0,7,1,0,0
136 Ella Ross,GWS,10,1.4,4,0.6,6,0.9,3,0.4,2,0.3,6,0.9,17,2.4,1,0.1,0,0,3,0.4,0,0
136 Moana Hope,COLL,1,0.1,0,0,1,0.1,0,0,4,0.6,4,0.6,6,0.9,2,0.3,2,0.3,5,0.7,7,1
136 Jacinda Barclay,GWS,1,0.2,0,0,1,0.2,1,0.2,3,0.5,5,0.8,10,1.7,2,0.3,0,0,5,0.8,4,0.7
136 Jess Bibby,GWS,1,0.1,0,0,1,0.1,8,1.1,3,0.4,0,0,16,2.3,2,0.3,0,0,3,0.4,0,0
141 Laura Attard,CARL,1,0.1,0,0,1,0.1,11,1.6,1,0.1,5,0.7,8,1.1,8,1.1,0,0,0,0,0,0
142 Breann Moody,CARL,10,1.4,3,0.4,7,1,5,0.7,3,0.4,2,0.3,5,0.7,2,0.3,0,0,2,0.3,1,0.1
142 Justine Mules,ADEL,5,1,0,0,5,1,1,0.2,2,0.4,3,0.6,26,5.2,4,0.8,0,0,2,0.4,0,0
142 Kelly Clinch,FRE,3,0.5,1,0.2,2,0.3,4,0.7,2,0.3,4,0.7,15,2.5,4,0.7,0,0,5,0.8,0,0
145 Melissa Caulfield,FRE,9,1.8,3,0.6,6,1.2,0,0,3,0.6,2,0.4,20,4,3,0.6,0,0,6,1.2,1,0.2
